Referentiecode	Referentienummer	Omschrijving	D/C	Niveau	ReferentieOmslagcode	
B				1		
W				1		
BIva		IMMATERIËLE VASTE ACTIVA	D	2		
BMva		MATERIËLE VASTE ACTIVA	D	2		
BFva		FINANCIËLE VASTE ACTIVA	D	2		
BEff		EFFECTEN	D	2		
BEiv		EIGEN VERMOGEN	C	2		
BVrz		VOORZIENINGEN	C	2		
BLas		LANGLOPENDE SCHULDEN	C	2		
BLim		LIQUIDE MIDDELEN	D	2		
BVor		VORDERINGEN	D	2		
BSch		KORTLOPENDE SCHULDEN	C	2		
BVrd		VOORRADEN	D	2		
BPro		PROJECTEN	D	2		
WPer		PERSONEELSKOSTEN	D	2		
WAfs		AFSCHRIJVINGEN	D	2		
WBed		OVERIGE BEDRIJFSKOSTEN	D	2		
WKpr		INKOOPWAARDE VAN DE OMZET	D	2		
WOmz		OMZET	C	2		
WWiv		WIJZIGING VOORRADEN	D	2		
WOvb		OVERIGE BEDRIJFSOPBRENGSTEN	C	2		
WVhe		VRIJVAL HERWAARDERINGSRESERVE EN EGALISATIEREKENINGEN	C	2		
WFbe		FINANCIËLE BATEN EN LASTEN	C	2		
WBbe		BUITENGEWONE BATEN EN LASTEN	C	2		
WAad		AANDEEL DERDEN	D	2		
WBel		BELASTINGEN	D	2		
WNer		NETTO RESULTAAT	C	2		
BIvaKou	0101000	Kosten van oprichting en van uitgifte van aandelen	D	3		
BIvaKoo	0102000	Kosten van onderzoek en ontwikkeling	D	3		
BIvaSof	0103000	Software	D	3		
BIvaOie	0104000	Overig intellectueel eigendom	D	3		
BIvaBou	0105000	Bouwclaims	D	3		
BIvaCev	0106000	Concessies en vergunningen	D	3		
BIvaGoo	0107000	Goodwill	D	3		
BIvaGue	0108000	Goodwill uit eerdere overnames	D	3		
BIvaVoi	0109000	Vooruitbetaald op immateriële vaste activa	D	3		
BIvaOiv	0110000	Overige immateriële vaste activa	D	3		
BMvaTer	0201000	Terreinen	D	3		
BMvaBeg	0202000	Bedrijfsgebouwen	D	3		
BMvaVer	0203000	Verbouwingen	D	3		
BMvaVio	0204000	Vastgoed in ontwikkeling bestemd voor eigen exploitatie	D	3		
BMvaSvi	0205000	Sociaal vastgoed in exploitatie	D	3		
BMvaCvi	0206000	Commercieel vastgoed in exploitatie	D	3		
BMvaOzv	0207000	Onroerende zaken verkocht onder voorwaarden	D	3		
BMvaOvg	0208000	Overige vastgoedbeleggingen	D	3		
BMvaHuu	0209000	Huurdersinvesteringen	D	3		
BMvaMei	0210000	Machines en installaties	D	3		
BMvaVli	0211000	Vliegtuigen	D	3		
BMvaSch	0212000	Schepen	D	3		
BMvaTev	0213000	Transport- en vervoermiddelen	D	3		
BMvaObe	0214000	Overige vaste bedrijfsmiddelen	D	3		
BMvaBei	0215000	Bedrijfsinventaris	D	3		
BMvaVbi	0216000	Vaste bedrijfsmiddelen in uitvoering en vooruitbetaald op materiële vaste activa 	D	3		
BMvaNad	0217000	Niet aan de bedrijfsuitoefening dienstbaar	D	3		
BMvaOmv	0218000	Overige materiële vaste activa	D	3		
BFvaDig	0301000	Deelnemingen in groepsmaatschappijen	D	3		
BFvaDio	0302000	Deelnemingen in overige verbonden maatschappijen	D	3		
BFvaAnd	0303000	Andere deelnemingen	D	3		
BFvaOve	0304000	Overige effecten	D	3		
BFvaVog	0305000	Vorderingen op groepsmaatschappijen	D	3		
